Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
20.95,2943.991,913.30,-79.28571,78.08, -,8.693115
21.00,2929.148,913.80,-90.57143,78.08, -,8.693115
21.05,2923.212,914.00,-99.09524,78.08, -,8.693115
21.10,2917.277,914.20,-101.9048,78.08, -,8.693115
21.15,2908.377,914.50,-96.19048,78.08, -,8.693115
21.20,2905.412,914.60,-96.14286,78.08, -,8.693115
21.25,2908.377,914.50,-93.33334,78.08, -,8.693115
21.30,2911.343,914.40,-96.19048,78.08, -,8.693115
21.35,2893.549,915.00,-110.3333,78.08, -,8.693115
21.40,2893.549,915.00,-99,78.08, -,8.693115
21.45,2914.311,914.30,-70.7619,78.08, -,8.693115
21.50,2926.179,913.90,-51,78.08, -,8.693115
21.55,2914.311,914.30,-56.61905,78.08, -,8.693115
21.60,2890.585,915.10,-73.57143,78.08, -,8.693115
21.65,2878.728,915.50,-79.19048,78.08, -,8.693115
21.70,2875.765,915.60,-79.19048,78.08, -,8.693115
21.75,2878.728,915.50,-70.71429,78.08, -,8.693115
21.80,2869.838,915.80,-73.52381,78.08, -,8.693115
21.85,2849.104,916.50,-90.47619,78.08, -,8.693115
21.90,2840.223,916.80,-101.7619,78.08, -,8.693115
21.95,2837.262,916.90,-110.2381,78.08, -,8.693115
22.00,2834.302,917.00,-104.5714,78.08, -,8.693115
22.05,2831.344,917.10,-93.2381,78.08, -,8.693115
22.10,2831.344,917.10,-87.57143,78.08, -,8.693115
22.15,2828.383,917.20,-84.71429,78.08, -,8.693115
22.20,2813.591,917.70,-90.33334,78.08, -,8.693115
22.25,2801.762,918.10,-98.80952,78.08, -,8.693115
22.30,2801.762,918.10,-101.619,78.08, -,8.693115
22.35,2807.675,917.90,-98.80952,78.08, -,8.693115
22.40,2798.804,918.20,-90.28571,78.08, -,8.693115
22.45,2789.936,918.50,-98.71429,78.08, -,8.693115
22.50,2781.071,918.80,-126.9048,78.08, -,8.693115
22.55,2778.115,918.90,-141,78.08, -,8.693115
22.60,2781.071,918.80,-126.9048,78.08, -,8.693115
22.65,2778.115,918.90,-107.0952,78.08, -,8.693115
22.70,2769.252,919.20,-104.2381,78.08, -,8.693115
22.75,2766.299,919.30,-104.2381,78.08, -,8.693115
22.80,2769.252,919.20,-104.2381,78.08, -,8.693115
22.85,2769.252,919.20,-95.7619,78.08, -,8.693115
22.90,2760.391,919.50,-84.42857,78.08, -,8.693115
22.95,2748.58,919.90,-87.19048,78.08, -,8.693115
23.00,2736.775,920.30,-95.61905,78.08, -,8.693115
23.05,2727.923,920.60,-101.2381,78.08, -,8.693115
23.10,2722.022,920.80,-104.0476,78.08, -,8.693115
23.15,2716.123,921.00,-109.6667,78.08, -,8.693115
23.20,2710.224,921.20,-112.4762,78.08, -,8.693115
23.25,2710.224,921.20,-98.38095,78.08, -,8.693115
23.30,2710.224,921.20,-87.09524,78.08, -,8.693115
23.35,2704.327,921.40,-92.71429,78.08, -,8.693115
23.40,2701.38,921.50,-101.1429,78.08, -,8.693115
23.45,2695.484,921.70,-98.33334,78.08, -,8.693115
23.50,2689.589,921.90,-95.52381,77.9, -,8.693115
23.55,2683.697,922.10,-92.71429,77.9, -,8.693115
23.60,2680.75,922.20,-92.71429,77.9, -,8.693115
23.65,2680.75,922.20,-95.52381,77.9, -,8.693115
23.70,2674.857,922.40,-98.33334,77.9, -,8.693115
23.75,2657.189,923.00,-106.7143,77.9, -,8.693115
