12-23-2023 12:00:51,"<LORA>+RCV=7,8,GPS FAIL,-25,11\r</LORA>"
datetime,serial msg
12-23-2023 12:00:55,"<LORA>+RCV=7,7,Alt:0.0,-25,11\r</LORA>"
datetime,serial msg
12-23-2023 12:01:15,"<LORA>+RCV=7,7,Alt:0.0,-24,11\r</LORA>"
datetime,serial msg
12-23-2023 14:10:08,"<LORA>+RCV=7,7,Alt:0.0,-23,11\r</LORA>"
datetime,serial msg
12-23-2023 14:10:11,"<LORA>+RCV=7,8,GPS FAIL,-20,10\r</LORA>"
datetime,serial msg
12-23-2023 14:10:19,"<LORA>+RCV=7,7,Alt:0.0,-30,00\r</LORA>"
datetime,serial msg
12-23-2023 14:10:29,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 14:27:49,"<LORA>+RCV=7,7,Alt:0.0,-47,11\r</LORA>"
datetime,serial msg
12-23-2023 14:28:09,"<LORA>+RCV=7,7,Alt:0.0,-52,10\r</LORA>"
datetime,serial msg
12-23-2023 14:28:19,"<LORA>+RCV=7,7,Alt:0.0,-42,10\r</LORA>"
datetime,serial msg
12-23-2023 14:28:30,"<LORA>+RCV=7,7,Alt:0.0,-53,10\r</LORA>"
datetime,serial msg
12-23-2023 14:28:41,"<LORA>+RCV=7,7,Alt:0.0,-47,11\r</LORA>"
datetime,serial msg
12-23-2023 14:28:50,"<LORA>+RCV=7,7,Alt:0.0,-45,11\r</LORA>"
datetime,serial msg
12-23-2023 14:29:03,"<LORA>+RCV=7,7,Alt:0.0,-53,11\r</LORA>"
datetime,serial msg
12-23-2023 14:29:23,"<LORA>+RCV=7,7,Alt:0.0,-61,11\r</LORA>"
datetime,serial msg
12-23-2023 14:29:34,"<LORA>+RCV=7,7,Alt:0.0,-46,11\r</LORA>"
datetime,serial msg
12-23-2023 14:29:54,"<LORA>+RCV=7,7,Alt:0.0,-62,11\r</LORA>"
datetime,serial msg
12-23-2023 14:30:05,"<LORA>+RCV=7,7,Alt:0.0,-51,10\r</LORA>"
datetime,serial msg
12-23-2023 14:30:13,"<LORA>+RCV=7,8,GPS FAIL,-59,10\r</LORA>"
datetime,serial msg
12-23-2023 14:30:17,"<LORA>+RCS=7,7,Alt:0.0,-49,11\r</LORA>"
datetime,serial msg
12-23-2023 14:30:37,"<LORA>+RCV=7,7,Alt:0.0,-48,11\r</LORA>"
datetime,serial msg
12-23-2023 14:30:45,"<LORA>+RCV=7,31,GPS: A,2805.4930,N,08210.2490,W,-48,11\r</LORA>"
datetime,serial msg
12-23-2023 14:30:50,"<LORA>+RCV=7,7,Alt:0.0,-46,10\r</LORA>"
datetime,serial msg
12-23-2023 14:31:06,"<LORA>+RCV=7,8,GPS FAIL,-44,11\r</LORA>"
datetime,serial msg
